Security Code,Security Name,Security Group,Open,High ,Low,LTP,No. of Shares Traded ,Total Turnover  (<img src='../../../include/images/rs.gif' alt='my image' /> Lac),No. of Trades
500104,HINDPETRO,A,198.55,198.55,163.45,165.05,8651949,14729.04,78634
500325,RELIANCE,A,1102.6,1115.55,1039.55,1049.85,1164483,12562.23,37869
500547,BPCL,A,302.75,302.75,239,265.35,3672993,9751.05,44032
532500,MARUTI,A,7080,7219,6801.05,6893.00,120345,8460.03,17480
532648,YESBANK,A,215.75,218.4,203.5,206.20,3833592,8128.73,33815
530965,IOC,A,126.8,126.8,105.65,118.05,6844005,8105.61,50609
500087,CIPLA,A,637,648,631,634.55,1188504,7649.28,2216
532174,ICICIBANK,A,316.5,321.1,298.8,306.60,2341786,7338.55,17603
500470,TATASTEEL,A,581.9,586,561,569.55,1003321,5735.47,6976
500295,VEDL,A,238.7,241.55,226.35,231.85,2456047,5722.97,10013
500112,SBIN,A,271,272,255.95,257.80,2129211,5609.46,17252
500034,BAJFINANCE,A,2162,2212.4,1971,2038.10,226974,4836.91,8995
535789,IBULHSGFIN,A,948.6,988.2,888,910.20,445654,4256.81,15080
500312,ONGC,A,162,162,146,146.95,2781466,4217.15,25322
531344,CONCOR,A,603,620,588.1,605.30,675951,4092.91,5408
500696,HINDUNILVR,A,1573,1573.45,1529,1559.45,262667,4077.70,4893
500510,LT,A,1259.5,1268.75,1222,1229.30,320281,3979.48,13933
532215,AXISBANK,A,586.95,590.5,564.25,568.45,627797,3629.20,7886
500180,HDFCBANK,A,1959.8,1990.5,1941.9,1962.85,177047,3484.34,6067
532540,TCS,A,2059.8,2119.85,2024,2103.10,166182,3457.87,8126
500209,INFY,A,711,731.25,709,721.85,399124,2870.96,8675
500247,KOTAKBANK,A,1079,1089.25,1040,1053.35,260040,2795.04,5583
524715,SUNPHARMA,A,598,616.65,591.05,598.25,459653,2781.36,8808
500477,ASHOKLEY,A,116.9,118,103.2,108.30,2336128,2630.05,9596
500114,TITAN,A,785,815.95,784,792.75,307768,2474.15,8547
532134,BANKBARODA,A,103.35,104.25,97.7,98.85,2443931,2451.78,12050
532155,GAIL,A,351,351,296,331.55,732088,2415.75,13308
500570,TATAMOTORS,A,223.25,226.45,215,216.55,1078206,2386.90,9060
500520,M&M,A,798.6,798.6,753,768.60,306620,2361.21,8611
532461,PNB,A,65.25,66.35,63.1,63.80,3322462,2153.00,9946
500228,JSWSTEEL,A,376.95,379,360.15,365.40,577887,2135.82,5471
532187,INDUSINDBK,A,1572,1637.7,1555.15,1609.90,119484,1931.47,5542
500302,PEL,A,2298,2320,2168.95,2207.75,82525,1866.38,4375
500875,ITC,A,287,287.55,275.95,277.15,637647,1787.20,7006
532424,GODREJCP,A,717.5,717.5,682,702.85,232100,1623.87,3784
500010,HDFC,A,1785,1785,1685,1715.15,93538,1618.94,4154
532868,DLF,A,155.9,163.8,145.4,149.05,1013720,1577.55,5194
505200,EICHERMOT,A,21790,22690,20989,21158.35,6949,1510.67,2861
500257,LUPIN,A,854.9,866.25,830.05,839.00,171620,1457.40,4318
500493,BHARATFORG,A,590,596.1,575,577.25,246025,1449.49,1384
532977,BAJAJ-AUTO,A,2635,2636.15,2528,2544.75,53320,1372.07,4084
500124,DRREDDY,A,2364.95,2426,2351.05,2390.10,55052,1316.70,2584
532538,ULTRACEMCO,A,3960,3960,3780,3802.90,33250,1272.72,2398
500182,HEROMOTOCO,A,2757,2775,2695.15,2740.85,41908,1145.29,4605
532978,BAJAJFINSV,A,5636.05,5717,5218.65,5377.60,20582,1139.92,2156
524804,AUROPHARMA,A,742.3,762.1,735.05,743.55,148148,1113.16,2607
532898,POWERGRID,A,190.5,191.2,186.3,187.00,573733,1090.98,1289
532921,ADANIPORTS,A,317.05,319,299,302.05,347693,1070.41,4361
500300,GRASIM,A,969.9,969.9,915.1,920.85,109352,1021.25,2181
532523,BIOCON,A,624.9,637,604.25,610.95,164815,1020.13,4609
500253,LICHSGFIN,A,407,412.1,387.6,395.80,254053,1016.86,3148
532755,TECHM,A,713.5,723.8,695.55,714.75,138966,990.44,5238
540777,HDFCLIFE,A,372,377,365.5,367.50,260376,967.64,2296
500440,HINDALCO,A,249.85,249.85,239,240.70,386963,940.75,2549
500825,BRITANNIA,A,5630,5630,5376,5435.75,15730,857.86,2442
532454,BHARTIARTL,A,309.25,315.85,287.5,296.75,274582,837.39,5942
532810,PFC,A,78,78.35,75.5,75.75,1022972,785.49,3286
500049,BEL,A,82,83.2,79,80.50,876048,715.92,5396
532955,RECLTD,A,103,105.1,99.6,100.60,666628,680.92,2398
532822,IDEA,A,34,34.65,32.9,33.55,2013857,680.61,3586
500820,ASIANPAINT,A,1223.95,1240.75,1198,1207.90,54882,667.92,2239
508869,APOLLOHOSP,A,1043.2,1072.5,1035.55,1055.25,61568,644.49,1036
532720,M&MFIN,A,398.45,399.85,358.65,371.15,158209,608.16,4124
532296,GLENMARK,A,600.1,613.25,583,588.95,98082,588.42,2139
500790,NESTLEIND,A,9205.05,9489.95,9150,9386.15,6156,573.61,1493
532488,DIVISLAB,A,1272,1313.7,1267.55,1279.70,40540,522.66,1489
500410,ACC,A,1505.1,1519.5,1470,1482.25,34152,508.94,1762
517354,HAVELLS,A,605,605,585,592.15,83568,496.50,1943
532343,TVSMOTOR,A,527.05,527.05,490,502.80,96548,492.55,1825
507685,WIPRO,A,326,327.55,320.6,325.30,149282,485.56,2737
512070,UPL,A,628,631.8,591,598.20,79148,485.02,2056
500096,DABUR,A,416,424.7,404.2,419.95,115452,481.02,1811
500425,AMBUJACEM,A,211.1,213.95,206.75,208.05,227879,479.85,1504
532321,CADILAHC,A,387.9,389.75,376,379.10,120790,463.16,2179
500469,FEDERALBNK,A,68,69.9,67.05,68.30,669963,459.21,1857
500103,BHEL,A,72.95,74,69.85,70.60,634328,458.73,2787
517334,MOTHERSUMI,A,244.7,246.75,238,240.75,180294,438.46,2450
500800,TATAGLOBAL,A,218.5,218.8,205.9,209.40,203127,429.02,3081
500290,MRF,A,61580,61585,60506.8,60766.70,691,420.34,554
533278,COALINDIA,A,274.95,274.95,261.55,263.05,155960,414.26,2348
500331,PIDILITIND,A,974,991.1,955,961.75,41746,406.37,1624
532827,PAGEIND,A,30354,30849.5,29319.7,29580.35,1342,401.90,788
532281,HCLTECH,A,1077,1095.05,1070.95,1082.40,34080,370.19,1355
532555,NTPC,A,167.1,167.85,160.4,163.10,216697,356.58,2407
511218,SRTRANSFIN,A,1064,1096.05,1025,1045.00,32452,346.96,1619
526371,NMDC,A,114,114.9,107.5,109.05,271035,298.82,2139
500400,TATAPOWER,A,68,68,62.35,63.00,454881,294.70,1765
532522,PETRONET,A,213.95,217.5,205.1,213.35,136701,290.75,2228
505537,ZEEL,A,437.4,438,410.3,418.55,61604,260.95,1595
531642,MARICO,A,314.1,314.15,304.6,306.75,75707,233.75,1746
500830,COLPAL,A,1065,1079,1021,1072.25,18121,193.31,1092
500086,EXIDEIND,A,249.9,253.95,246,249.05,75800,189.76,1309
500770,TATACHEM,A,657.5,664.5,646.75,652.90,27941,182.75,894
500550,SIEMENS,A,951.5,965,931.45,945.25,18963,180.27,969
570001,TATAMTRDVR,A,120.6,122.3,116,117.45,146863,175.80,1658
534816,INFRATEL,A,254.65,263.95,254.65,259.85,45288,117.82,795
500530,BOSCHLTD,A,19114.9,19114.9,18700,18817.40,576,108.69,333
500387,SHREECEM,A,16350,16443.35,15601.1,15809.00,585,93.67,296
500490,BAJAJHLDNG,A,2901.65,2950,2649.95,2754.45,2377,66.38,399
500480,CUMMINSIND,A,674.85,676.3,653,658.50,9929,66.02,447
539876,CROMPTON,A,212.25,214.05,204,211.45,19447,40.63,590
